latitude,longitude,Number of Parks found,Distance to Closest Park
43.671535,-79.379173,5,311.0
43.646734,-79.38301,10,116.0
43.6662942,-79.4066433,10,52.0
43.675278,-79.423889,3,108.0
43.648928,-79.378623,10,170.0
43.715951,-79.351246,2,293.0
43.665645,-79.304711,2,89.0
43.645572,-79.39399,5,151.0
43.652777,-79.372637,7,249.0
43.665538,-79.451263,3,199.0
43.650325,-79.372287,9,11.0
43.66943,-79.38915,8,255.0
43.669244,-79.3894,8,241.0
43.683351,-79.41562,2,72.0
43.6574766,-79.373446,3,231.0
43.636611,-79.400042,10,230.0
43.646552,-79.406468,2,342.0
43.713524,-79.400162,5,299.0
43.65003919999999,-79.3733541,9,33.0
43.653264,-79.382458,7,58.0
43.663376,-79.392125,5,63.0
43.660439,-79.385525,9,177.0
43.659226,-79.390213,1,255.0
43.65995,-79.38964,3,339.0
43.660087,-79.385655,9,166.0
43.6146692,-79.4873148,5,111.0
43.626265,-79.476723,3,113.0
43.63771,-79.458173,3,270.0
43.6390437,-79.4760109,4,184.0
43.6486599,-79.4376413,5,210.0
43.6423847,-79.4240277,6,101.0
43.6702236,-79.4360232,2,205.0
43.6752732,-79.3778458,1,593.0
43.645469,-79.411084,8,221.0
43.6882821,-79.4253856,0,
43.651603,-79.408346,0,
43.670206,-79.402643,7,118.0
43.661559,-79.413845,7,257.0
43.6560758,-79.393259,5,223.0
43.6580442,-79.3927404,2,18.0
43.6568254,-79.3966159,4,30.0
43.5927419,-79.54033009999999,1,703.0
43.597082,-79.522768,2,416.0
43.6171635,-79.4971065,2,238.0
43.612063,-79.496573,3,255.0
43.63732,-79.489083,2,239.0
43.5961692,-79.5160575,2,373.0
43.613606,-79.4883535,5,64.0
43.664665,-79.489385,0,
43.665523,-79.484892,0,
43.668496,-79.485426,1,454.0
43.698841,-79.519472,4,232.0
43.658574,-79.487246,1,455.0
43.63985,-79.43703,3,258.0
43.665076,-79.341509,10,140.0
43.6323994,-79.40978179999999,3,68.0
43.6935477,-79.3301658,2,185.0
43.6438036,-79.4770327,6,189.0
43.65246,-79.413528,3,432.0
43.6548521,-79.35397680000001,5,82.0
43.630874,-79.482407,0,
